unique_id,age,gender,data_collection_site,simulated_data,exclude_surveillance,exclude_aware_olsen_and_fazio,exclude_aware_olsen_and_fazio_modified,exclude_awareness_baranan_dehouwer_nosek,exclude_awareness_baranan_dehouwer_nosek_modified,sum_score_evaluation_CSpos_preferred,condition,surveillance_response_total_correct_responses,sum_score_filler_1,sum_score_filler_2,awareness_1_out_of_ordinary,awareness_1_systematic,awareness_1_words_and_images,awareness_2a_response,awareness_2_stim_paired_with_negative,awareness_2_stim_paired_with_positive,familiarity,mean_surveillance_response_total_correct_responses_by_site,sd_surveillance_response_total_correct_responses_by_site,fazio_and_olsen_criteria_scorer_1,fazio_and_olsen_modified_criteria_scorer_1,fazio_and_olsen_criteria_scorer_2,fazio_and_olsen_modified_criteria_scorer_2
Balas and Sarzynnska_109,25,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,CS1_USneg,429,74,54,nic niezwyklego nie zostalo przeze mnie zauwazone,"tak, mniej wiecej kolejnosc pokazywanych obrazkow byla taka sama",nie zauwazylem nic charakterystycznego,FALSE,3,4,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_11,26,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,CS1_USneg,424,60,45,"nie, nie zauwar,ndzyr,ndlam niczego niezwyklegoback","wydaje mi sir,nde, ze czasem niektore zestawy obrazkow sie powtarzalyback","nie, nie zauwazylam.",FALSE,2,4,2,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_111,29,M,Balas and Sarzynnska,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,CS1_USpos,413,70,62,"niestety nie zwrocilem wiekszej uwagi na slowa, skupilem sie na wykonaniu zadania intuicyjnie jak mnie proszono w poleceniuback",tak zauwazylem ze szary robak byl czesto przezemnie nielubianyback,niestety jak w odpowiedzi pierwszej nie moge odpowiedziec na to pytanie,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_112,33,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,CS1_USpos,428,78,62,obrazy i slowa nie mialy ze soba nic wspolnego,"obrazy i slowa powtarzaly sie, czesto byly to podobne sekwencje,np; ksiazka i olowek",slowa powtarzaly sie niezaleznie od postaci. podobnie bylo z obrazami,FALSE,5,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_113,26,M,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2,CS1_USpos,426,74,53,tak. zauwazylem to iz badanie to mialo na celu sprawdzenie ktora postac lubie bardziej i zwerywikowanie jej na podstawie innych. majac dwie ulubione postacie musialem zdecydowac ktora bardziej przypadla mi do gustu i ktora wyraza najwiecej pozytywnych emocji i odczuc. ,oczywiscie. w zadaniu dalo sie zauwazyc iz mialem wybor miedzy dwoma pozytywnymi postaciami ale takze to ze z jednej strony dana postac pojawiala sie przynajmniej dwa razy z rzedu.,przyznam sie ze jestem wzrokowcem i nie zauwazylem nic w slowach ktore byly przydzielone do postaci.,FALSE,6,2,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_114,31,F,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,CS1_USpos,420,79,46,nie zaawuwaazylam nic takiego,nie zauwazylam nic   ,nie zauwazylam nic takiego,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_115,30,F,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,CS1_USneg,426,68,51,slowa i obrazki nie pasowaly do siebie.  ,jatak slowa i obrazki pojawialy sie w tej samej kombinacji i czesto powtarzaly sie w tym samym odcinku czasowym.,slowa pow i tematyka obrazkow powtarzala sie ,FALSE,1,5,1,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_116,33,F,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,CS1_USpos,430,62,49,"nie zauwqaazylam nic niezwyklego, staralam sie skupiac na odnajdywaniu postaci docelowej, niz na obrazach i slowach ktore sie pojawiaja a nie sa postacia docelowa.",niektore obrazy pojawialy sie bardzo czesto i byly w parze z tymi samymi obrazami,byly to przedmioty codziennego uzytku jak np parasol czy szklanka. jesli chodzi o slowa to byly to albo rzeczowniki albo przymiotniki.,FALSE,4,3,1,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_117,26,F,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,CS1_USneg,427,81,62,"zauwazylam, ze jeden pokemon mial zazwyczaj negatywne slowo obok siebie. nie pamietam jego nazwy, ale pamietam jak wygladal.","nie bylo az tak duzo pokemonow by caly czas przyciskac spacje, bylo to co jakis czas, przy drugim pokemonie gdzies pod koniec pojawial sie pokemon, napis, pokemon pkus napis okolo 2 lub 3 razy z rzedu",to tak jak wczesniej jeden pokemon mial negatywne slowa obok siebie,TRUE,2,6,2,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_118,24,M,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,425,78,58,"dla mnie nie bylo zwiazku miedzy slowami i obrazami, albo go nie zauwazylem poprostu",osobiscie nie zrwocilem na to uwagi,dla mnie te nazwy nic nie mowili,FALSE,3,4,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_119,35,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,CS1_USneg,423,85,72,"obrazy, slowa powtarzaja sie ","tak, poszczeegolne obrazy, slowa powtarzaja sie","tak, polaczenie abstrakcyjne",TRUE,5,1,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_120,34,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,CS1_USneg,428,66,56,"juz nie pamietam nazw postaci, ale chyba nie zauwazylam.",jedynie wydawalo mi sie ze po dluzszym odczekaniu pojawialo sie slowo badz obraz docelowy.,podobal mi sie wydzwieg tk tych wyrazow i wydawalo mi sie ze wyrazy jakos troche charakteryzuja postac,TRUE,3,4,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_121,19,w,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USneg,427,70,46,"zauwazylam, ze obrazki sa bardzo roznorodne . nie sa powiazane tez z postaciami z bajek",obrazki pojawialy sie co okreslona ilosc czasu,"slowa i obrazki, jak i postaci byly w ogolnej mierze takie same, lecz co jakis czas pojawialy sie nowe",FALSE,5,2,5,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_122,22,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,CS1_USneg,422,75,43,"backmam wrazenie, ze nic prezentowane obiekty byly logicznie dopasowane",tak bylo to rowneiez zwiazane z refleksem w wyborach w stosunku do szykich zmian obiektow,nie znalem zadnej z prezentowanych postaci,TRUE,2,5,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_123,23,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,428,64,41,raczej nic niezbywwyklego,"postaci z kreskowek zawszejezeli mialy podpis na dole, to zawsze byl on poprawny. z ksiazka zawsze byly olowki lub nic nie bylo po lewej",nie zauwazylam nic niezwykllegoinsertego,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_124,19,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,CS1_USpos,430,72,53,nslowa powtarzaly sie,tak podobna regularnosc,niestety nie zauwazylam,FALSE,5,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_125,32,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-10,CS1_USneg,425,66,57,nie zauwazylem nic niezwyklego,nie nie zauwazylem regularnosci,nie zuwazylem nic charakterystycznego,TRUE,4,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_126,22,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-6,CS1_USpos,428,71,53,"byly to slowa powtarzjace sie, a dokladniej te ktore sie powtarzaly, byly slowami neutralnymi, niezwiazanymi z emocjami, to samo tyczylo sie powtarzajacych sie obrazkow, ktore rowniez mialy byc dla czlowieka neutralne, czym innym byly slowa okreslajace np. pozadany czy uzyteczny, a takze obrazki np robaki, badz osoby, ktore satly przy gorbie, ktore byly nacechowane emocjonalnie","byly wybrane obrazki i slowa, ktore pojawialy sie regularnie, te nie nacechowane emocjonalnie jak np ksiazka, okulary czy parasol lub obrazki","slowa te byly neutralne, chociaz nie wszystkie, zazwyczaj przy postaciach z kreskowek byly slowa ktore nie byly nacechowane ",FALSE,6,1,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_128,24,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,CS1_USneg,427,69,51,"byly slowa jak proste tak i zlozone, czesto pojawial sie kuber,k , jeden raz papierosy i cmentaz. fajny pokemon zanura","slowa parasol, olowki , beton, oraz obrazki glosnika i kubka byly czesto pojawiane, nie zwracalem uwagi na dlugie slowa.","pokemony byly ruzne od siebie, obrazki byly zdjeciami, raczej starymi",FALSE,2,4,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_129,20,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,CS1_USneg,429,74,56,"osobiscie nie zauwazylam niczego specjalnego, lecz biorac pod uwage rodzaj zadania prawdopodobnym jest , ze przy okreslonych stworzeniach pojawialy sie obrazy nacechowane glownie pozytywnie, neutralnie lub negatywnie","s;lobrazy takie jak suszarka,wentylator i swego rodzaju szesciokat czesto pojawialy sie razem. tak samo slowa ksiazka, olowek, okulary i parasol.",niie zauwazylam niczego specjalnego.,FALSE,4,3,1,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_13,32,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,CS1_USpos,420,88,58," aequalnaprzemienne obrazy r,ndlr,ndr,ndaczoce sie z tejskstem. ",nie nie zauwazylem zadnej reguralnosci,"quotenic szczegolnego, normalne obrazy rozne jak i tresc",TRUE,5,1,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_14,32,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,CS1_USneg,428,79,52,"nie zauwar,ndzyr,ndlam nic niezwykr,ndlego zwir,ndazanegoi ze sr,ndlowami i obrazami z poprzedniego zadania","nie zauwar,ndzyr,ndlam r,ndzadnej regularnor,ndsci w pojawianiu sir,nde obrazr,ndow i sr,ndlow","nie zauwar,ndzyr,ndlam nic chcrakterystycznego",FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_15,27,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,CS1_USneg,425,71,44,"sr,ndpojawily sie sr,ndlowa wyrazajace emocje, negatywne i pozytywne, oraz nazwy przedmiotow","pojawiajacy sie obraz mogl byc opisany slowem, ktory pojawial sie w jego towarzystwie",postaci mogly byc opisane przez wyrazenia pojawiajace sie razem z nimi,FALSE,3,4,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_16,31,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8,CS1_USneg,423,81,62,"w zaler,ndznosci od kombinaci postaaci czasami postac ktora w poprzedniej kombinacji mnie nie zachwycila w kolejnej okazala sie lepsza",nie zauwazylam badz nie zwrocila ona moejj uwagi,nie zauwazylamback  skupialm sie na iinym kryterium,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_17,33,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,418,69,60,nnie sa chcratkterystyczne dla mojej grupy wiekowej,pojawialy sie postacie ze swiata pokemon lub przedmioty codziennego urzytkowania,proste obrazy i prosta czcionka wyrazow,FALSE,4,3,5,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_18,18,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2,CS1_USneg,429,81,50,"nniestety nie zauwar,ndzylem niczego specjalnego ",nie zauwazylem zadnej regularnosci  ,mysle ze nie mialy one zadnych powiazan,TRUE,3,6,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_19,23,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,428,69,65,"nie zauwar,ndzyr,ndlem niczegi niezwykr,ndlego ",nie zauwazylem niczego regularnego,nie zauwazylem niczego charakterystycznego,FALSE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_2,20,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2,CS1_USneg,428,77,50,zauwazylem ze postacie czesto bequalbyly znacznie odmienne pod wzgledem wygladu co czesto zawazalo na moim wyborze np 1 postac miala pancerz i rogi a druga wygladem przypominala wilka ,czesto obok postaci kojarzacych sie poztywnie przeciwstawiona byla postac ktora nie kojarzyla mi sie tak dobrze,nie nie zauwazylem nic poza wczesniejszymi ,TRUE,5,2,5,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_20,32,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,CS1_USneg,423,67,52,"nie zauwazyr,ndlam nic niezwykr,ndlego w tym.","nie zauwazyr,ndlam nic takiegow tym  zadnej regularnosciback    ",nic takiego ncharakterystycznego nie zauwazylam,TRUE,6,1,5,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_22,22,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,CS1_USneg,424,67,48,"w niektr,ndr,ndorych przypadkach powtarzar,ndly sir,nde obrazki lub slowa o okreslonym charakterze pozytywnym lub negatywnym ",shelmen zazwyczaj negatywne obrazy lub slowa,powtarzajace sie negatywne obrazy lub slowa przy shelmecie,TRUE,1,6,1,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_23,24,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-2,CS1_USpos,428,74,48,"zauwar,ndzyr,ndkyr,ndlem r,ndze obrazki byr,ndly przedstawione tak aby skonfrontowar,ndc kar,ndzdy nasz wybr,ndor z poprzednim, abysmy wybierali czasem spor,ndsrr,ndob dwr,ndoch wybranych obrazkr,ndow jeszczer raz je podzielir,ndc ","tak zawsze byr,ndly te same zwierzr,ndr,ndeta,  i sr,ndlowa, zmieniar,ndly sir,nde tylko te zwir,nderzr,ndeta i nazwy ktr,ndore wybieralir,ndsmy i klikalismy spacjr,nda",tak mily kompletnie inna tematyke i tresc zdjec niz te obrazki i nazwy zwierzat z kreskowki,TRUE,5,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_24,31,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,430,36,52,"nie   zauwar,ndzyr,ndlam nic dziwnego poza tym, r,ndze sr,ndlowa dotyczyr,ndly przewar,ndznie negatywnych cech i emocji ","wydaje mi sir,nde, r,ndr,ndze byr,ndly takie same ukr,ndlady i konfiguracje obrazr,ndow","dane sr,ndlowa byr,ndly zanegatywne miar,ndly wyd r,ndr,ndzr,ndwir,ndek zr,ndlych cech i nie byr,ndly one orzypisane do naszych wybieranych postacjii",FALSE,5,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_25,23,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2,CS1_USneg,426,85,58,"czasami, gey sr,ndlowody inne sr,ndlowo pojawiar,ndlo sir,nde obok obrazka, orzychodzir,ndlo mi na myr,ndsl r,ndze faktcycznie obrazek mor,ndze mier,ndc takar,nda nazwr,nde chociar,ndz wgl nie byr,ndly pokrewne. c","nie zauwar,ndzyr,ndlam, r,ndzadnej regularnor,ndsci we wspr,ndr,ndolnym pojawianiu sir,nde obrazr,ndow back","pojnie zauwazyr,ndlam niczego charakterystycznego",FALSE,2,5,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_26,24,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-2,CS1_USneg,430,82,62,"nie zauwar,ndzyr,ndlem niczego niezywequalequalwywyklegoback","zauwar,ndzylem regularnor,ndsr,ndc r,ndze po kprawie kazdym nowym  zadaniu od razu pojawia sie to nowe stworzenie",nie zauwazylem niczego charakterystycznegoback,TRUE,4,3,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_27,35,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,CS1_USpos,425,73,52,"opisy cech przy stworkach oraz podobne nazwy przy nazwach stworkr,ndow"," byr,ndly pojedyncze nazwy stworkr,ndow lub obrazki z podpisami zaraz po nich","cechy pozytywne przy niektr,ndorych stworkach lub negatywne przy innych",TRUE,6,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_28,25,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4,CS1_USpos,426,81,53," sr,ndlowa i obrazki nie byklly powiazane ze soba, ale cyklicznie sie powtarzaly.  ",cykliczne powtarzanie sie obrazow i slow bylo co jakis czas ,"nie zauwazylam, ale duzo dotyczylo przedmiotow codziennego uzytku ",FALSE,1,1,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_29,25,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,CS1_USpos,421,74,50,"equalequalsr,ndlowa bardzo czesti o powtarzaly sie ","pojawiar,ndly suie one w ostr,nddstr,ndepie okolo 7 sekundback",bardzio czesto obok pojawialt y sie slowa niezwiazane z nimi,TRUE,5,1,4,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_3,28,f,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,CS1_USneg,425,75,50,"wszystkie postaci jakie sir,ndr,ndr,ndroptione ukazywaly pochodzily z pierwszej czesci zadania jednakze zadna z tych ilustracji nie wzbudzila mojego szczegolnego zainteresowania.  ",quotemam wrazenie ze czesto zestawiane ze soba byly te obrazki ktore wczesniej odrzucilam.,"sr,ndlowa te powtarzaly sie podobnie jak obrazki co dla mnie osobiscie wplywalo na znuzenie.",FALSE,1,4,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_30,30,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,-8,CS1_USpos,426,67,48,"niektore z postaci mialy glownie slowa, ktore kojarza sie negatywnie, inne zas np glownie obrazki,  lub slowa neutralne","jw. tj pewne postaci wystepowaly wraz z pewnymi slowami lub obrazkami , a takze pewne slowa te neutralne nastepowaly po sobie, np rzeczowniki",niektore obrazy kojarzyly sie raczej negatywnie  np wymiotowanie do toabrudnej toalety i inne wystapowaly przy okreslonej postaci z ktora takze wystepowaly inne slowa raczej kojarzace sie  negatywnie,TRUE,6,2,4,426.22,3.33,FALSE,TRUE,FALSE,TRUE
Balas and Sarzynnska_4,20,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,CS1_USneg,429,71,47,"czasami pojawiar,ndly sir,nde sr,ndlowa nacechowane negatywnie obok obrazkow. moga one podswiadomie wplywac na decyzje dotyczaca wyboru ladniejszej postaci. pojawil sie rowniez obrazek osoby kleczacej przed toaleta, prawdopodobnie wymiotujacej.",quotepojawiala sie pewna regularnosc aczkolwiek nie przywiazywalem do tego wiekszej wagi. kubek i kwadrat pojawialy sie zwykle razem. beton wyswietlal sie najczesciej na gorze.  ,nie zauwazylem niczego charakterystycznegoback,FALSE,2,5,2,426.22,3.33,FALSE,FALSE,FALSE,FALSE
Balas and Sarzynnska_5,29,m,Balas and Sarzynnska,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,CS1_USpos,428,71,56,"tak powtarzar,ndr,ndly sir,nde  ","tak tabtabtaktak, zauwar,ndzyr,ndlem,ze regularnie sir,nde pojawialy","tak zauwazylem.sr,ndlowa sie powtarzaly tak jak obrazki",TRUE,4,2,1,426.22,3.33,FALSE,FALSE,FALSE,FALSE
